25006318,3.00,5.00,,,,,,5.50,5.75,,,
25006319,5.20,6.00,,,,,,7.25,5.50,,,
25006320,3.40,5.75,,,,,,7.00,6.50,,,
25006321,6.00,6.50,,,,,,8.00,6.00,,,
25006322,8.00,6.50,7.00,7.00,7.00,7.00,7.00,,,,,
25006323,4.80,6.00,,,,,,8.25,8.75,,,
25006324,7.00,8.25,4.80,,,,,8.75,8.75,9.00,8.83,
25006325,8.20,8.25,6.20,8.00,8.50,6.25,7.58,,,,,
25006326,8.60,7.50,4.00,6.50,4.50,4.50,5.17,,,,,
25006327,6.00,6.00,,,,,,8.25,7.25,,,
25006328,5.20,4.50,,,,,,4.50,6.50,,,
25006329,6.00,7.75,4.60,4.75,4.75,3.50,4.33,,,,,
25006330,6.60,8.25,3.00,,,,,8.50,7.75,9.50,8.58,
25006331,8.00,8.25,6.80,,,,,7.75,7.00,9.75,8.17,
25006332,8.00,9.25,5.80,8.25,8.00,6.75,7.67,,,,,
25006333,7.20,7.25,3.60,,,,,6.75,7.75,9.00,7.83,
25006334,7.00,7.25,6.00,8.25,7.75,5.00,7.00,,,,,
25006335,8.20,9.25,4.80,9.00,7.75,4.50,7.08,,,,,
25006336,6.40,7.75,7.80,,,,,8.50,7.25,8.75,8.17,
25006337,7.80,8.50,6.00,7.25,7.50,6.00,6.92,,,,,
25006338,7.60,8.50,5.40,,,,,9.00,7.00,9.00,8.33,
25006339,4.60,5.75,,,,,,7.75,6.25,,,
25006340,4.80,4.25,,,,,,5.00,5.00,,,
25006341,7.20,6.75,3.40,6.00,7.50,3.25,5.58,,,,,
25006342,5.40,5.00,,,,,,8.50,7.50,,,
25006343,7.40,7.25,4.40,6.75,7.75,6.25,6.92,,,,,
25006344,8.80,7.25,3.40,6.00,8.00,8.25,7.42,,,,,
25006345,7.00,7.00,4.20,7.25,8.25,3.50,6.33,,,,,
25006346,8.60,6.75,6.20,,,,,7.75,8.75,8.50,8.33,
25006347,9.00,6.75,6.40,8.25,8.75,6.25,7.75,,,,,
25006348,7.80,6.25,8.20,8.00,6.25,4.25,6.17,,,,,
25006349,7.20,7.25,,,,,,9.00,7.50,,,
25006350,4.00,5.75,,,,,,5.50,5.50,,,
25006351,6.20,5.00,,,,,,8.50,7.50,,,
25006352,9.00,8.00,5.40,,,,,9.25,7.75,9.50,8.83,
25006353,8.60,8.00,6.20,7.75,7.00,5.50,6.75,,,,,
25006354,5.60,6.00,,,,,,7.00,6.25,,,
25006355,3.80,6.25,,,,,,8.75,8.00,,,
25006356,7.60,6.75,,,,,,4.50,7.00,,,
25006357,8.00,7.00,6.40,7.75,8.25,3.00,6.33,,,,,
25006358,8.00,8.25,4.40,6.50,8.75,8.00,7.75,,,,,
25006359,8.20,8.25,5.20,6.75,8.00,3.25,6.00,,,,,
25006360,7.00,8.75,5.20,,,,,6.25,7.50,8.75,7.50,
25006361,7.80,8.25,4.60,,,,,7.00,7.50,8.75,7.75,
25006362,7.80,7.00,5.00,8.50,7.75,4.25,6.83,,,,,
25006363,8.20,8.75,3.80,7.75,7.50,2.50,5.92,,,,,
25006364,7.60,8.50,4.20,5.75,7.75,8.00,7.17,,,,,
25006365,7.40,5.75,3.80,5.50,8.75,5.25,6.50,,,,,
25006366,8.20,8.75,6.20,,,,,9.25,8.75,10.00,9.33,
25006367,7.00,7.75,5.00,6.25,8.25,5.50,6.67,,,,,
25006368,7.80,9.25,8.20,,,,,8.00,8.25,9.75,8.67,
25006369,7.40,9.00,5.20,,,,,9.00,7.50,9.50,8.67,
25006370,8.80,6.00,5.40,8.00,7.75,4.50,6.75,,,,,
25006371,3.20,6.25,,,,,,8.00,7.25,,,
25006372,8.60,8.00,5.20,,,,,9.50,6.75,9.75,8.67,
25006373,4.40,4.75,,,,,,8.50,8.50,,,
25006374,4.60,5.25,,,,,,9.00,8.75,,,
25006375,7.60,7.25,2.40,,,,,7.25,7.75,8.75,7.92,
25006376,8.60,9.00,6.40,7.00,7.50,5.75,6.75,,,,,
25006377,8.40,8.75,4.60,5.50,7.50,4.75,5.92,,,,,
25006378,8.20,8.50,8.80,,,,,7.75,8.00,8.50,8.08,
25006379,6.60,7.25,4.20,,,,,7.00,7.25,8.50,7.58,
25006380,7.40,9.00,6.40,,,,,9.00,8.50,9.75,9.08,
25006381,7.80,7.25,4.40,,,,,8.00,7.75,9.00,8.25,
25006382,6.60,7.75,5.80,,,,,8.00,6.75,9.00,7.92,
25006383,8.40,7.00,5.40,8.00,8.25,5.25,7.17,,,,,
25006384,5.40,5.75,,,,,,7.50,8.25,,,
25006385,7.20,6.75,5.00,7.00,7.00,5.25,6.42,,,,,
25006386,8.00,6.25,5.60,6.75,7.25,4.00,6.00,,,,,
25006387,8.40,8.75,6.80,,,,,7.50,8.25,8.50,8.08,
25006388,5.80,6.25,,,,,,6.25,6.50,,,
25006389,7.60,7.75,5.80,6.75,6.75,4.50,6.00,,,,,
25006390,8.20,8.25,4.20,6.50,7.50,4.75,6.25,,,,,
25006391,9.40,8.00,6.40,8.75,8.75,7.00,8.17,,,,,
25006392,6.00,6.50,4.20,,,,,6.75,6.00,8.25,7.00,
25006393,3.60,6.25,,,,,,9.00,7.75,,,
25006394,8.20,6.50,2.40,7.00,7.25,3.75,6.00,,,,,
25006395,4.20,6.00,,,,,,6.25,7.50,,,
25006396,7.00,7.00,5.60,,,,,5.00,6.25,7.75,6.33,
25006397,6.60,7.50,2.80,4.00,6.00,4.50,4.83,,,,,
25006398,3.60,4.25,,,,,,5.75,6.50,,,
25006399,7.60,7.00,4.60,7.75,5.25,4.00,5.67,,,,,
25006400,8.60,7.75,4.40,7.50,7.50,7.75,7.58,,,,,
25006401,8.80,6.75,5.40,9.00,8.75,6.75,8.17,,,,,
25006402,8.40,8.00,7.00,,,,,8.50,8.75,9.00,8.75,
25006403,3.00,5.75,,,,,,7.00,6.75,,,
25006404,4.00,4.75,,,,,,5.75,6.75,,,
25006405,7.60,6.75,6.40,5.75,8.25,5.25,6.42,,,,,
25006406,8.00,7.00,5.60,7.25,5.75,5.50,6.17,,,,,
25006407,4.40,6.00,,,,,,6.50,6.00,,,
25006408,4.00,5.75,,,,,,7.25,7.50,,,
25006409,9.00,7.75,7.20,9.50,9.50,8.00,9.00,,,,,
25006410,8.40,8.50,5.80,5.75,8.75,8.50,7.67,,,,,
25006411,4.80,5.75,,,,,,6.50,6.00,,,
25006412,4.60,7.25,,,,,,7.25,7.25,,,
25006413,8.00,7.50,6.00,7.50,7.50,5.50,6.83,,,,,
25006414,8.20,7.00,3.40,4.25,6.75,6.75,5.92,,,,,
25006415,8.60,9.00,8.20,,,,,9.25,8.00,9.75,9.00,
25006416,7.20,8.50,5.00,,,,,9.00,8.00,9.25,8.75,
25006417,6.80,8.25,5.80,,,,,8.25,7.50,9.50,8.42,
25006418,7.00,7.25,,,,,,7.75,6.25,,,
25006419,8.20,6.25,5.00,7.75,8.00,6.00,7.25,,,,,
25006420,2.40,3.50,,,,,,4.50,6.50,,,
25006421,7.60,6.50,2.40,5.25,5.75,4.75,5.25,,,,,
25006422,4.60,6.50,,,,,,7.75,7.25,,,
25006423,7.00,7.75,5.40,,,,,7.25,8.25,9.00,8.17,
25006424,6.40,8.00,5.20,,,,,9.00,6.75,9.00,8.25,
25006425,3.20,6.75,,,,,,4.50,6.75,,,
25006426,6.20,7.00,,,,,,6.75,7.25,,,
25006427,7.60,8.50,6.40,,,,,7.50,7.50,9.00,8.00,
25006428,7.80,8.00,7.00,,,,,8.75,7.25,9.50,8.50,
